repo,name
golangci/golangci-lint,v1.52.2
golangci/golangci-lint,v1.52.1
golangci/golangci-lint,v1.52.0
golangci/golangci-lint,v1.51.2
golangci/golangci-lint,v1.51.1
golangci/golangci-lint,v1.51.0
golangci/golangci-lint,v1.50.1
golangci/golangci-lint,v1.50.0
golangci/golangci-lint,v1.49.0
golangci/golangci-lint,v1.48.0
golangci/golangci-lint,v1.47.3
golangci/golangci-lint,v1.47.2
golangci/golangci-lint,v1.47.1
golangci/golangci-lint,v1.47.0
golangci/golangci-lint,v1.46.2
golangci/golangci-lint,v1.46.1
golangci/golangci-lint,v1.46.0
golangci/golangci-lint,v1.45.2
golangci/golangci-lint,v1.45.1
golangci/golangci-lint,v1.45.0
golangci/golangci-lint,v1.44.2
golangci/golangci-lint,v1.44.1
golangci/golangci-lint,v1.44.0
golangci/golangci-lint,v1.43.0
golangci/golangci-lint,v1.42.1
golangci/golangci-lint,v1.42.0
golangci/golangci-lint,v1.41.1
golangci/golangci-lint,v1.41.0
golangci/golangci-lint,v1.40.1
golangci/golangci-lint,v1.40.0
golangci/golangci-lint,v1.39.0
golangci/golangci-lint,v1.38.0
golangci/golangci-lint,v1.37.1
golangci/golangci-lint,v1.37.0
golangci/golangci-lint,v1.36.0
golangci/golangci-lint,v1.35.2
golangci/golangci-lint,v1.35.1
golangci/golangci-lint,v1.35.0
golangci/golangci-lint,v1.34.1
golangci/golangci-lint,v1.34.0
golangci/golangci-lint,v1.33.2
golangci/golangci-lint,v1.33.1
golangci/golangci-lint,v1.33.0
golangci/golangci-lint,v1.32.2
golangci/golangci-lint,v1.32.1
golangci/golangci-lint,v1.32.0
golangci/golangci-lint,v1.31.0
golangci/golangci-lint,v1.30.0
golangci/golangci-lint,v1.29.0
golangci/golangci-lint,v1.28.3
golangci/golangci-lint,v1.28.2
golangci/golangci-lint,v1.28.1
golangci/golangci-lint,v1.28.0
golangci/golangci-lint,v1.27.0
golangci/golangci-lint,v1.26.0
golangci/golangci-lint,v1.25.1
golangci/golangci-lint,v1.25.0
golangci/golangci-lint,v1.24.0
golangci/golangci-lint,v1.23.8
golangci/golangci-lint,v1.23.7
golangci/golangci-lint,v1.23.6
golangci/golangci-lint,v1.23.5
golangci/golangci-lint,v1.23.4
golangci/golangci-lint,v1.23.3
golangci/golangci-lint,v1.23.2
golangci/golangci-lint,v1.23.1
golangci/golangci-lint,v1.23.0
golangci/golangci-lint,v1.22.2
golangci/golangci-lint,v1.22.1
golangci/golangci-lint,v1.22.0
golangci/golangci-lint,v1.21.0
golangci/golangci-lint,v1.20.1
golangci/golangci-lint,v1.20.0
golangci/golangci-lint,v1.19.1
golangci/golangci-lint,v1.19.0
golangci/golangci-lint,v1.18.0
golangci/golangci-lint,v1.17.1
golangci/golangci-lint,v1.17.0
golangci/golangci-lint,v1.16.0
golangci/golangci-lint,v1.15.0
golangci/golangci-lint,v1.14.0
golangci/golangci-lint,v1.13.2
golangci/golangci-lint,v1.13.1
golangci/golangci-lint,v1.13
golangci/golangci-lint,v1.12.5
golangci/golangci-lint,v1.12.4
golangci/golangci-lint,v1.12.3
golangci/golangci-lint,v1.12.2
golangci/golangci-lint,v1.12.1
golangci/golangci-lint,v1.12
golangci/golangci-lint,v1.11.3
golangci/golangci-lint,v1.11.2
golangci/golangci-lint,v1.11.1
golangci/golangci-lint,v1.11
golangci/golangci-lint,v1.10.2
golangci/golangci-lint,v1.10.1
golangci/golangci-lint,v1.10
golangci/golangci-lint,v1.9.3
golangci/golangci-lint,v1.9.2
golangci/golangci-lint,v1.9.1
golangci/golangci-lint,v1.9
golangci/golangci-lint,v1.8.1
golangci/golangci-lint,v1.8
golangci/golangci-lint,v1.7.3
golangci/golangci-lint,v1.7.2
golangci/golangci-lint,v1.7.1
golangci/golangci-lint,v1.7
golangci/golangci-lint,v1.6.1
golangci/golangci-lint,v1.6
golangci/golangci-lint,v1.5
golangci/golangci-lint,v1.4.1
golangci/golangci-lint,v1.4
golangci/golangci-lint,v1.3.7
golangci/golangci-lint,v1.3.6
golangci/golangci-lint,v1.3.5
golangci/golangci-lint,v1.3.4
golangci/golangci-lint,v1.3.3
golangci/golangci-lint,v1.3.2
golangci/golangci-lint,v1.3.1
golangci/golangci-lint,v1.3
golangci/golangci-lint,v1.2.1
golangci/golangci-lint,v1.2
golangci/golangci-lint,v1.1
golangci/golangci-lint,v1
